    1024 ,      1 ,       0.42
    1024 ,      4 ,       0.31
    1024 ,     16 ,       0.37
    1024 ,     64 ,       0.33
    1024 ,    256 ,       0.36
    4096 ,      1 ,       1.20
    4096 ,      4 ,       2.00
    4096 ,     16 ,       3.02
    4096 ,     64 ,       2.89
    4096 ,    256 ,       2.78
   16384 ,      1 ,       1.86
   16384 ,      4 ,       5.71
   16384 ,     16 ,       9.16
   16384 ,     64 ,      13.14
   16384 ,    256 ,       7.90
   65536 ,      1 ,       2.09
   65536 ,      4 ,       6.93
   65536 ,     16 ,      19.08
   65536 ,     64 ,      21.20
   65536 ,    256 ,      11.58
  262144 ,      1 ,       2.13
  262144 ,      4 ,       7.15
  262144 ,     16 ,      20.07
  262144 ,     64 ,      23.55
  262144 ,    256 ,      12.58
 1048576 ,      1 ,       2.15
 1048576 ,      4 ,       7.18
 1048576 ,     16 ,      23.46
 1048576 ,     64 ,      28.42
 1048576 ,    256 ,      15.56
